,gbrt_minimize,dummy_minimize,gp_minimize,forest_minimize,hyperopt_minimize,gpyopt_minimize
Sargan_2_ri,0.408<0.479<0.538,0.193<0.244<0.283,0.0<0.0<0.0,-0.01<0.038<0.07,0.025<0.047<0.066,0.0<0.0<0.0
Sargan_5_r,-70.454<-69.718<-68.836,-41.881<-40.127<-38.627,-89.309<-86.159<-83.583,-38.073<-35.543<-32.791,-42.904<-38.897<-34.863,-100.0<-100.0<-100.0
Schwefel20_2_r,3.241<3.881<4.405,19.929<20.905<21.998,0.218<0.244<0.265,0.506<0.933<1.287,7.689<8.597<9.477,0.092<0.093<0.094
Schwefel20_2_ri,1.347<3.003<4.331,18.214<18.93<19.723,0.019<0.031<0.04,3.872<4.194<4.517,6.906<7.752<8.552,0.015<0.015<0.016
Schwefel36_2_r,-3418.079<-3413.998<-3410.661,-3453.164<-3448.107<-3444.213,-3146.355<-3121.967<-3095.251,-3338.192<-3326.987<-3315.955,-3441.849<-3437.575<-3433.817,-3455.974<-3455.974<-3455.974
Select2Features,-0.429<-0.424<-0.422,-0.364<-0.359<-0.356,-0.417<-0.411<-0.406,-0.409<-0.403<-0.398,-0.341<-0.33<-0.319,-0.397<-0.393<-0.39
Shekel05_4_r,-0.801<-0.712<-0.606,-0.564<-0.531<-0.476,-9.473<-9.068<-8.715,-2.676<-2.552<-2.412,-0.93<-0.844<-0.744,-10.153<-10.15<-10.149
Sphere_7_ri,1.073<1.325<1.53,7.874<8.429<8.922,0.0<0.0<0.0,7.82<8.463<8.929,5.245<5.861<6.455,0.0<0.0<0.0
StyblinskiTang_5_r,-162.886<-161.909<-160.676,-133.559<-132.445<-131.068,-137.33<-135.785<-133.98,-157.085<-155.444<-153.694,-146.222<-143.001<-139.74,-168.741<-168.626<-168.568
Train4LayerNN,-0.979<-0.975<-0.971,-0.694<-0.683<-0.669,-1.098<-1.095<-1.094,-0.969<-0.964<-0.959,-0.856<-0.839<-0.823,-0.302<-0.302<-0.302
Tripod_2_r,3.333<3.47<3.574,15.882<16.479<17.16,1.226<1.316<1.414,5.441<6.063<6.605,8.207<9.117<9.999,0.152<0.152<0.152
Xor_9_r,0.994<0.994<0.995,0.997<0.997<0.998,0.98<0.98<0.981,0.996<0.996<0.997,0.995<0.996<0.997,0.986<0.986<0.986
